ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
1652,pat-thau3-thau3,;博學多聞;無所不知;,bat透透,bat-thau3-thau3,,3675,VH,,
1653,,;大撈一筆;,bau2,bau2,,1826,,,
1658,,;包辦;總攬;,bau7,bau7,,254,VC,,
1666,,;包辦;總攬;,bauh8,bauh8,,291,VC,,
1680,boe2-boe7-khi2,;買不起;,買be7起,be2-be7-khi2,,2939,VR,,
1681,boe2-boe7-tioh8,;買不到;,買be7著,be2-be7-tioh8,,4584,VR,,
1792,boe7,;不會;,be7,be7,,4234,Db;VL,,
1796,boe7-an,;不安;,be7安,be7-an,,2340,VH,,
1797,boe7-an3-sng3,;不測;,be7按算,be7-an3-sng3,,2516,Na,,
1800,boe7-bian2--tit,;免不了;,be7免得,be7-bian2--tit,,3215,Db;VH,,
1801,boe7-chap8-soe3--e5,;貨郎;賣雜貨的;,賣雜細e5,be7-chap8-se3-e5,,3309,Na,,
1805,boe7-chhut-siaN,;失聲;,be7出聲,be7-chhut-siaN,,1796,VH,,
1806,boe7-chi2,;不止;,be7止,be7-chi2,,2207,Da,,
1809,boe7-chio2,;不少;,be7少,be7-chio2,,2428,VH,,
1810,boe7-chio2--tit,;少不了;,be7少得,be7-chio2--tit,,3353,VJ,,
1813,boe7-eng7,;不行;,be7用,be7-eng7,,3131,VH,,
1814,boe7-eng7--leh,;不可;不成;,be7用leh,be7-eng7--leh,,3430,Db;VH,,
1815,boe7-eng7--tit,;不行;不許;使不得;不能用;,be7用得,be7-eng7--tit,,5364,Db;VR;VH,,
1817,boe7-hah8,;不服;不對;合不來;,be7合,be7-hah8,,3623,VK,,
1818,boe7-hiau2,;不會;,be7曉,be7-hiau2,,4134,Db;VL,,
1819,boe7-hiau2-phai2-se3,;不害臊;,be7曉歹勢,be7-hiau2-phaiN2-si3,,3159,,,
1820,boe7-hiau2--tit,;不懂得;,be7曉得,be7-hiau2--tit,,3202,,,
1821,boe7-hiau2-tit-kong2,;說不得;,be7曉得講,be7-hiau2-tit-kong2,,4805,VH,,
1822,boe7-ho2-se3,;不適;失當;,be7好勢,be7-ho2-si3,,4102,VH,,
1823,boe7-ho5,;不和;,be7和,be7-ho5,,4262,VH,,
1826,boe7-iau3-kin2,;不打緊;,be7要緊,be7-iau3-kin2,,4168,VH,,
1827,boe7-iong7--tit,;不行;不能用;,be7用得,be7-iong7--tit,,4649,VH,,
1828,boe7-kah,;不致於;,be7-kah,be7-kah,,2968,Db,,
1831,boe7-kham,;不勝;,be7堪,be7-kham,,2068,Da,,
1832,boe7-kham--leh,;不堪;,be7堪leh,be7-kham--leh,,2408,VK,,
1833,boe7-kham-tit,;禁不起;經不起;忍不住;,be7堪得,be7-kham-tit,,3266,VR;VJ;VH,,
1834,boe7-kham--tit,;禁不住;,be7堪得,be7-kham--tit,,2989,VR,,
