出處,華語,漢字,臺羅,
臺灣閩南語常用詞辭典,縫紉機,mi-sín,mi-sín,
臺灣閩南語常用詞辭典,味噌,mí-sòoh,mí-sòoh,
臺灣閩南語常用詞辭典,馬達,mòo-tà,mòo-tà,
臺灣閩南語常用詞辭典,耐龍,na̋i-lóng,na̋i-lóng,
臺灣閩南語常用詞辭典,尼龍,na̋i-lóng,na̋i-lóng,
臺灣閩南語常用詞辭典,領帶,ne-kut-tái,ne-kut-tái,
臺灣閩南語常用詞辭典,腦筋不正常,nőo-sín,nőo-sín,
臺灣閩南語常用詞辭典,海苔,nóo-lih,nóo-lih,
臺灣閩南語常用詞辭典,歐巴桑,oo-bá-sán,oo-bá-sán,(歐巴桑、對不特定年長女性的稱呼)
臺灣閩南語常用詞辭典,歐吉桑,oo-jí-sáng,oo-jí-sáng,(歐吉桑、對不特定年長男性的稱呼)
臺灣閩南語常用詞辭典,黑輪,oo-lián,oo-lián,
臺灣閩南語常用詞辭典,人偶,oo-lín-gióo,oo-lín-gióo,
臺灣閩南語常用詞辭典,洋娃娃,oo-lín-gióo,oo-lín-gióo,
臺灣閩南語常用詞辭典,大姐,oo-nè-sàng,oo-nè-sàng,
臺灣閩南語常用詞辭典,機車,oo-tóo-bái,oo-tóo-bái,
臺灣閩南語常用詞辭典,摩托車,oo-tóo-bái,oo-tóo-bái,
臺灣閩南語常用詞辭典,大衣,òo-bà,òo-bà,(長外套、長大衣)
臺灣閩南語常用詞辭典,柏青哥,pha-tsìn-kòo,pha-tsìn-kòo,
臺灣閩南語常用詞辭典,百分比,pha̋-siàn-tòo,pha̋-siàn-tòo,
臺灣閩南語常用詞辭典,百分率,pha̋-siàn-tòo,pha̋-siàn-tòo,
臺灣閩南語常用詞辭典,麵包,pháng,pháng,
臺灣閩南語常用詞辭典,爆胎,phàng-kù,phàng-kù,
臺灣閩南語常用詞辭典,鋼琴,phi-á-nooh,phi-á-nooh,
臺灣閩南語常用詞辭典,鐵鉗,phiàn-tsih,phiàn-tsih,
臺灣閩南語常用詞辭典,桌球,phi̋n-phóng,phi̋n-phóng,
臺灣閩南語常用詞辭典,乒乓球,phi̋n-phóng,phi̋n-phóng,
臺灣閩南語常用詞辭典,手動抽水機,phòng-phù,phòng-phù,
臺灣閩南語常用詞辭典,幫浦,phòng-phù,phòng-phù,
臺灣閩南語常用詞辭典,螺旋槳,phu-lóo-phé-lá,phu-lóo-phé-lá,
臺灣閩南語常用詞辭典,布魯司,pu-lù-sù,pu-lù-sù,
臺灣閩南語常用詞辭典,沙卡哩巴,sa-khá-lí-bah,sa-khá-lí-bah,
臺灣閩南語常用詞辭典,櫻花,sa-khú-lah,sa-khú-lah,
臺灣閩南語常用詞辭典,生魚片,sa-sí-mih,sa-sí-mih,
臺灣閩南語常用詞辭典,優待,sa̋-bì-sù,sa̋-bì-sù,(額外優待)
臺灣閩南語常用詞辭典,優惠,sa̋-bì-sù,sa̋-bì-sù,
臺灣閩南語常用詞辭典,尺寸,sài-sù,sài-sù,
臺灣閩南語常用詞辭典,保險套,sak-khuh,sak-khuh,
臺灣閩南語常用詞辭典,樣品,sa̋m-phú-luh,sa̋m-phú-luh,
臺灣閩南語常用詞辭典,樣本,sa̋m-phú-luh,sa̋m-phú-luh,
臺灣閩南語常用詞辭典,秋刀魚,sàn-bah,sàn-bah,
臺灣閩南語常用詞辭典,西裝,se-bí-looh,se-bí-looh,
臺灣閩南語常用詞辭典,安全,sè-hù,sè-hù,
臺灣閩南語常用詞辭典,修飾,si-á-geh,si-á-geh,
臺灣閩南語常用詞辭典,潤飾,si-á-geh,si-á-geh,
臺灣閩南語常用詞辭典,照片,sia-sín,sia-sín,
臺灣閩南語常用詞辭典,造型,siat-tooh,siat-tooh,
臺灣閩南語常用詞辭典,做頭髮,siat-tooh,siat-tooh,
臺灣閩南語常用詞辭典,襯衫,siat-tsuh,siat-tsuh,
臺灣閩南語常用詞辭典,吐司,sio̍k-pháng,sio̍k-pháng,
臺灣閩南語常用詞辭典,白麵包,sio̍k-pháng,sio̍k-pháng,
臺灣閩南語常用詞辭典,板手,si̍p-pán-án,si̍p-pán-án,
臺灣閩南語常用詞辭典,溜滑梯,sir-bé-lí-lái,sir-bé-lí-lái,
臺灣閩南語常用詞辭典,不鏽鋼,sir-tián-lè-sù,sir-tián-lè-sù,
臺灣閩南語常用詞辭典,醬料,sòo-sù,sòo-sù,
臺灣閩南語常用詞辭典,烏醋,sòo-sù,sòo-sù,
臺灣閩南語常用詞辭典,速可達,su-khù-tà,su-khù-tà,
臺灣閩南語常用詞辭典,塑膠車,su-khù-tà,su-khù-tà,(50cc輕型機車)
臺灣閩南語常用詞辭典,小綿羊,su-khù-tà,su-khù-tà,(50cc輕型機車)
臺灣閩南語常用詞辭典,拖鞋,su-lit-pah,su-lit-pah,
臺灣閩南語常用詞辭典,脫衣舞,su-tó-lip-puh,su-tó-lip-puh,
臺灣閩南語常用詞辭典,壽司,sú-sih,sú-sih,
臺灣閩南語常用詞辭典,黃蘿蔔,tha-khú-áng,tha-khú-áng,(黃蘿蔔、黃色的醃漬蘿蔔)
臺灣閩南語常用詞辭典,計程車,tha-khú-sih,tha-khú-sih,
臺灣閩南語常用詞辭典,疊蓆,tha-thá-mih,tha-thá-mih,
臺灣閩南語常用詞辭典,塌塌米,tha-thá-mih,tha-thá-mih,
臺灣閩南語常用詞辭典,輪胎,thài-ià,thài-ià,
臺灣閩南語常用詞辭典,瓷磚,thài-lù,thài-lù,
臺灣閩南語常用詞辭典,墨魚,thak-khooh,thak-khooh,
臺灣閩南語常用詞辭典,探戈,thàn-gòo,thàn-gòo,
